,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
BLACKSTONE,50.0,48.0,96.0,88.85341
CORAL,28.0,27.0,96.42857142857144,88.07288
PEBBLE,453.0,438.0,96.68874172185431,83.445496
CARRARA,106.0,103.0,97.16981132075472,98.55078
BLOSSOM,11.0,11.0,100.0,73.37143
AMELIE,16.0,16.0,100.0,82.938324
FLOREANA,5.0,5.0,100.0,66.82429
OLIMPIA,5.0,5.0,100.0,64.90534
LINO,22.0,22.0,100.0,91.97132
FORESTA,5.0,5.0,100.0,80.40198
CLOUDY_FOREST,5.0,5.0,100.0,68.97507
CONTEMPO,11.0,11.0,100.0,72.91501
DESERT,11.0,11.0,100.0,94.149506
DANAE,5.0,5.0,100.0,83.35074
ARTICO,5.0,5.0,100.0,77.695816
BOREAL,5.0,5.0,100.0,97.8253
