,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
PEBBLE,453.0,427.0,94.26048565121413,77.19282128295099
ISABELA,44.0,42.0,95.45454545454544,90.46857546676289
BLACKSTONE,50.0,48.0,96.0,89.62540346384048
SANDSTONE,156.0,150.0,96.15384615384616,65.25226670006911
RIVENDEL,28.0,27.0,96.42857142857144,54.52289198126112
DAKARI,67.0,65.0,97.01492537313432,88.58744030568137
POMPEYA,44.0,43.0,97.72727272727272,59.77046780965545
DANAE,5.0,5.0,100.0,74.84138607978821
IVORY,5.0,5.0,100.0,91.37587785720824
FORESTA,5.0,5.0,100.0,80.64125061035156
KAMANI,22.0,22.0,100.0,88.52472576228055
MAUI,22.0,22.0,100.0,78.02071896466342
AMAZONIA,11.0,11.0,100.0,82.21488378264688
CLOUDY_FOREST,5.0,5.0,100.0,81.59503817558289
CHARLOTE,5.0,5.0,100.0,74.81689929962158
SANT,5.0,5.0,100.0,55.55484354496002
ZINERVA,5.0,5.0,100.0,95.36778569221497
