,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
NANTES,11,11,100.0,92.0
NATURAL,16,16,100.0,75.375
NATURE,168,168,100.0,92.86309523809516
NAVONA,190,190,100.0,86.0473684210526
NEBRASKA,134,134,100.0,89.4701492537313
NEO,5,5,100.0,86.6
SIERRA,67,67,100.0,78.64179104477613
SIENA,33,33,100.0,82.30303030303031
SECOYA,22,22,100.0,89.77272727272727
SANTA CLARA,33,33,100.0,88.3030303030303
SANT,5,5,100.0,84.39999999999999
ROMA DECO,22,22,100.0,77.22727272727273
SOTILE,11,11,100.0,72.0
SILVERADO,22,22,100.0,91.63636363636364
STATUARIO,50,50,100.0,92.53999999999996
STELAR,5,5,100.0,94.80000000000001
ROCKY,67,67,100.0,86.22388059701491
RIVENDEL,28,28,100.0,89.46428571428572
QUARESTONE,257,257,100.0,88.77042801556414
REFLECTION,33,33,100.0,79.18181818181817
PRADO,22,22,100.0,79.31818181818181
POMPEYA,44,44,100.0,92.9772727272727
TUNDRA,16,16,100.0,94.1875
TROPICAL_LINEN,5,5,100.0,75.6
TRAVERTINE,61,61,100.0,88.19672131147541
TORINO,39,39,100.0,88.48717948717947
TIRRENO,11,11,100.0,80.0
SOFT_SABANA,5,5,100.0,79.60000000000001
TURIN,11,11,100.0,92.81818181818183
URBAN_JUNGLE,11,11,100.0,85.72727272727273
URBA,11,11,100.0,80.27272727272728
ZINERVA,5,5,100.0,86.80000000000001
