,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
CEPPO,44.0,40.0,90.9090909090909,86.34863048791885
FACTORY,11.0,10.0,90.9090909090909,79.98752919110385
SANDSTONE,156.0,142.0,91.02564102564102,95.3015324779046
ANTARES,56.0,52.0,92.85714285714286,88.54048534163407
FUSION,16.0,15.0,93.75,97.46525064110756
BROOKLYN,33.0,31.0,93.93939393939394,84.66673421137261
GALENO,190.0,179.0,94.21052631578948,94.50420596097644
UYUNI,44.0,42.0,95.45454545454544,90.25458097457886
ATHENAS,140.0,134.0,95.71428571428572,98.32748668534416
AMALTA,28.0,27.0,96.42857142857144,98.60462929521287
ALTEZZA,33.0,32.0,96.96969696969695,98.99635314941406
CALIFORNIA,44.0,43.0,97.72727272727272,98.77527776089582
FLORENTINO,89.0,87.0,97.75280898876404,98.3118907789166
PALIO,123.0,122.0,99.1869918699187,98.14438059078
TDF,224.0,223.0,99.55357142857144,98.7115523644856
AQUARIUM,5.0,5.0,100.0,99.82083320617676
ALABAMA,5.0,5.0,100.0,83.13285648822784
BASALTO,28.0,28.0,100.0,99.72728001219886
BALI,100.0,100.0,100.0,99.57811850309372
BLACKSTONE,50.0,50.0,100.0,99.04828488826752
BLOSSOM,11.0,11.0,100.0,99.23991777680136
ALMA,5.0,5.0,100.0,84.0053641796112
PARQUET,11.0,11.0,100.0,99.99847520481455
OLIMPIA,5.0,5.0,100.0,99.94183659553528
MONET,5.0,5.0,100.0,76.58125638961792
MIAMI,5.0,5.0,100.0,98.8324761390686
METAL,22.0,22.0,100.0,99.99427009712566
METALICOS,28.0,28.0,100.0,99.9679942216192
NATURAL,16.0,16.0,100.0,98.11333008110525
MAUI,22.0,22.0,100.0,99.87147694284263
MURANO,44.0,44.0,100.0,99.93669986724854
MORMONT,39.0,39.0,100.0,99.95081501129346
NEO,5.0,5.0,100.0,99.8448646068573
LINO,22.0,22.0,100.0,99.99655485153198
LITIO,11.0,11.0,100.0,97.61059880256651
MADISON,33.0,33.0,100.0,99.96556440989175
MAJESTIC_BLUE,5.0,5.0,100.0,97.73717522621156
MANHATAN,22.0,22.0,100.0,99.55649077892303
LEBLON,5.0,5.0,100.0,99.79169964790344
LAJA,22.0,22.0,100.0,99.96688772331584
KYOTO_DREAM,5.0,5.0,100.0,99.99175786972046
KAMANI,22.0,22.0,100.0,99.8948116194118
GRECO,44.0,44.0,100.0,97.32398241758348
FLORIAN,5.0,5.0,100.0,99.95686054229736
KAPUR,22.0,22.0,100.0,99.98791840943424
ANDROMEDA,11.0,11.0,100.0,90.33464355902238
AMELIE,16.0,16.0,100.0,99.99939128756525
AMAZONIA,11.0,11.0,100.0,99.97641390020196
CIPRES,112.0,112.0,100.0,98.0687185057572
CLOUDY_FOREST,5.0,5.0,100.0,99.53429102897644
COTTO,89.0,89.0,100.0,99.97440194815732
DAKOTA,89.0,89.0,100.0,99.88607657089662
ECOSTONE,11.0,11.0,100.0,99.438753453168
EMPERADOR,44.0,44.0,100.0,99.79562068527396
BOLONIA,50.0,50.0,100.0,99.98287761211397
BASALTINA,67.0,67.0,100.0,97.365848608871
TROPICAL_LINEN,5.0,5.0,100.0,99.73652243614195
SECOYA,22.0,22.0,100.0,96.84493975205856
QUEBEC,33.0,33.0,100.0,98.5839316339204
PLATINUM,5.0,5.0,100.0,99.9990177154541
POMPEYA,44.0,44.0,100.0,99.78971223939548
URBAN_JUNGLE,11.0,11.0,100.0,99.7803655537692
TURIN,11.0,11.0,100.0,91.8121262030168
WOODLAND,5.0,5.0,100.0,73.52221012115479
