,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
BASIC,134.0,134.0,100.0,95.25373134328356
ARIZONA,123.0,123.0,100.0,90.49593495934958
AQUARIUM,5.0,5.0,100.0,89.2
ARTICO,5.0,5.0,100.0,82.0
AMELIE,16.0,16.0,100.0,84.5625
ANTARES,56.0,56.0,100.0,83.82142857142857
AMAZONIA,11.0,11.0,100.0,92.27272727272728
AMALFI,100.0,100.0,100.0,89.60000000000004
AMALTA,28.0,28.0,100.0,86.03571428571428
ALABAMA,5.0,5.0,100.0,84.00000000000001
ALTEZZA,33.0,33.0,100.0,85.69696969696967
PLASTER,84.0,84.0,100.0,87.51190476190473
PERIGATAN,16.0,16.0,100.0,76.3125
PARQUET,11.0,11.0,100.0,85.09090909090908
PANDORA,11.0,11.0,100.0,80.81818181818183
PAMPLONA,33.0,33.0,100.0,80.27272727272728
OLIMPIA,5.0,5.0,100.0,92.2
OKLAHOMA,112.0,112.0,100.0,90.83035714285712
ORWELL,112.0,112.0,100.0,89.58035714285717
OAKLAND,22.0,22.0,100.0,76.0909090909091
OLIMPO,39.0,39.0,100.0,86.87179487179486
NANTES,11.0,11.0,100.0,92.0
NATURAL,16.0,16.0,100.0,75.375
NATURE,168.0,168.0,100.0,92.86309523809516
NAVONA,190.0,190.0,100.0,86.0473684210526
NEBRASKA,134.0,134.0,100.0,89.4701492537313
NEO,5.0,5.0,100.0,86.6
SIERRA,67.0,67.0,100.0,78.64179104477613
SIENA,33.0,33.0,100.0,82.30303030303031
SECOYA,22.0,22.0,100.0,89.77272727272727
SANTA CLARA,33.0,33.0,100.0,88.3030303030303
SANT,5.0,5.0,100.0,84.39999999999999
ROMA DECO,22.0,22.0,100.0,77.22727272727273
SOTILE,11.0,11.0,100.0,72.0
SILVERADO,22.0,22.0,100.0,91.63636363636364
STATUARIO,50.0,50.0,100.0,92.53999999999996
STELAR,5.0,5.0,100.0,94.8
ROCKY,67.0,67.0,100.0,86.22388059701491
RIVENDEL,28.0,28.0,100.0,89.46428571428572
QUARESTONE,257.0,257.0,100.0,88.77042801556414
REFLECTION,33.0,33.0,100.0,79.18181818181817
PRADO,22.0,22.0,100.0,79.31818181818181
POMPEYA,44.0,44.0,100.0,92.9772727272727
TUNDRA,16.0,16.0,100.0,94.1875
TROPICAL_LINEN,5.0,5.0,100.0,75.6
TRAVERTINE,61.0,61.0,100.0,88.19672131147541
TORINO,39.0,39.0,100.0,88.48717948717947
TIRRENO,11.0,11.0,100.0,80.0
SOFT_SABANA,5.0,5.0,100.0,79.60000000000001
TURIN,11.0,11.0,100.0,92.81818181818184
URBAN_JUNGLE,11.0,11.0,100.0,85.72727272727273
URBA,11.0,11.0,100.0,80.27272727272728
ZINERVA,5.0,5.0,100.0,86.80000000000001
